date,country,suspected_cases,confirmed_cases,deaths,recoveries,source_url,case_fatality_rate_pct
2016-03-23,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2016-03-23,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2016-03-23,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2016-03-23,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2016-03-23,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-29,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-29,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-29,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-29,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-23,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-23,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-23,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-23,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-22,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-22,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-22,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-22,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-17,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-17,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-17,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-17,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,Guinea,3,3807,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.9
2015-12-16,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-16,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-16,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-16,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,Guinea,3,3807,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.9
2015-12-15,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-15,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-15,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-15,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-11,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-11,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-11,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-11,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-10,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-10,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-10,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-10,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-09,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-09,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-09,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-09,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-03,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-03,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-03,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-03,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-02,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-02,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-02,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-02,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-12-01,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-12-01,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-12-01,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-12-01,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-26,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-26,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-26,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-26,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-24,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-24,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-24,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-24,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-20,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-20,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-20,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-20,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,Guinea,0,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-17,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-17,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-17,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-17,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-16,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-16,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-16,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-16,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-12,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-12,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-12,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
