date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
2026-06-20,DR Congo,0,1003,254,0,25.32,INRB-UMIE 2026 Live Dashboard Repository
2026-06-19,DR Congo,0,956,247,0,25.84,INRB-UMIE 2026 Live Dashboard Repository
2026-06-18,DR Congo,0,916,245,0,26.75,INRB-UMIE 2026 Live Dashboard Repository
2026-06-17,DR Congo,0,897,233,0,25.98,INRB-UMIE 2026 Live Dashboard Repository
2026-06-16,DR Congo,0,781,0,0,0.0,INRB-UMIE 2026 Live Dashboard Repository
2026-06-15,DR Congo,0,870,196,0,22.53,INRB-UMIE 2026 Live Dashboard Repository
2026-06-14,DR Congo,0,808,192,0,23.76,INRB-UMIE 2026 Live Dashboard Repository
2026-06-13,DR Congo,0,782,181,0,23.15,INRB-UMIE 2026 Live Dashboard Repository
2026-06-11,DR Congo,0,689,142,0,20.61,INRB-UMIE 2026 Live Dashboard Repository
2026-06-10,DR Congo,0,676,136,0,20.12,INRB-UMIE 2026 Live Dashboard Repository
2026-06-09,DR Congo,0,635,127,0,20.0,INRB-UMIE 2026 Live Dashboard Repository
2026-06-08,DR Congo,0,596,115,0,19.3,INRB-UMIE 2026 Live Dashboard Repository
2026-06-07,DR Congo,0,550,101,0,18.36,INRB-UMIE 2026 Live Dashboard Repository
2026-06-06,DR Congo,0,515,91,0,17.67,INRB-UMIE 2026 Live Dashboard Repository
2026-06-05,DR Congo,0,488,86,0,17.62,INRB-UMIE 2026 Live Dashboard Repository
2026-06-04,DR Congo,0,450,82,0,18.22,INRB-UMIE 2026 Live Dashboard Repository
2026-06-03,DR Congo,0,378,54,0,14.29,INRB-UMIE 2026 Live Dashboard Repository
2026-06-02,DR Congo,0,363,62,0,17.08,INRB-UMIE 2026 Live Dashboard Repository
2026-06-01,DR Congo,0,344,60,0,17.44,INRB-UMIE 2026 Live Dashboard Repository
2026-05-30,DR Congo,966,243,278,0,114.4,INRB-UMIE 2026 Live Dashboard Repository
2026-05-29,DR Congo,966,243,278,0,114.4,INRB-UMIE 2026 Live Dashboard Repository
2026-05-28,DR Congo,966,243,279,0,114.81,INRB-UMIE 2026 Live Dashboard Repository
2026-05-27,DR Congo,906,119,228,0,191.6,INRB-UMIE 2026 Live Dashboard Repository
2026-05-26,DR Congo,1064,111,251,0,226.13,INRB-UMIE 2026 Live Dashboard Repository
2026-05-25,DR Congo,998,100,243,0,243.0,INRB-UMIE 2026 Live Dashboard Repository
2026-05-24,DR Congo,893,101,228,0,225.74,INRB-UMIE 2026 Live Dashboard Repository
2026-05-23,DR Congo,905,95,225,0,236.84,INRB-UMIE 2026 Live Dashboard Repository
2026-05-22,DR Congo,872,83,209,0,251.81,INRB-UMIE 2026 Live Dashboard Repository
2026-05-21,DR Congo,745,79,177,0,224.05,INRB-UMIE 2026 Live Dashboard Repository
2026-05-20,DR Congo,672,57,160,0,280.7,INRB-UMIE 2026 Live Dashboard Repository
2026-05-19,DR Congo,575,51,148,0,290.2,INRB-UMIE 2026 Live Dashboard Repository
2026-05-18,DR Congo,516,33,131,0,396.97,INRB-UMIE 2026 Live Dashboard Repository
2026-05-15,DR Congo,80,13,0,0,0.0,INRB-UMIE 2026 Live Dashboard Repository
2026-05-14,DR Congo,0,0,57,0,0.0,INRB-UMIE 2026 Live Dashboard Repository
